court,year,sum
bcca,1967,0.00595430992890141
bcca,1968,0.00747872947921946
bcca,1969,0.00564155697551637
bcca,1970,0.00770800447080711
bcca,1971,0.00635706492505455
bcca,1972,0.00746363501357645
bcca,1973,0.0069276927310644
bcca,1974,0.00601906758455956
bcca,1975,0.0123775825445213
bcca,1976,0.00580432892832074
bcca,1977,0.00882379592831844
bcca,1978,0.01163278013595
bcca,1979,0.0135517334407273
bcca,1980,0.0200936806386354
bcca,1981,0.0232065686538702
bcca,1982,0.0179609911696553
bcca,1983,0.0404537448234933
bcca,1984,0.0327799220745955
bcca,1985,0.0491861429790484
bcca,1986,0.106242528947859
bcca,1987,0.0567519422362105
bcca,1988,0.104194239279351
bcca,1989,0.0722143679419642
bcca,1990,0.0895270739985286
bcca,1991,0.115686654195152
bcca,1992,0.15837033545126
bcca,1993,0.177343085443539
bcca,1994,0.158223643479816
bcca,1995,0.154933087476244
bcca,1996,0.163468463796344
bcca,1997,0.185681107284814
bcca,1998,0.230929531898562
bcca,1999,0.184432388444561
bcca,2000,0.209396398495877
bcca,2001,0.216892416840322
bcca,2002,0.216443057612235
bcca,2003,0.286184583902278
bcca,2004,0.282626620182028
bcca,2005,0.308037242031256
bcca,2006,0.279172745579437
bcca,2007,0.299691517627103
bcca,2008,0.340077077281027
bcca,2009,0.456716952695661
bcca,2010,0.497790243765278
bcca,2011,0.447535367095616
bcca,2012,0.428323101630899
bcca,2013,0.44751444235823
bcca,2014,0.4079143905754
bcca,2015,0.3979748199685
bcca,2016,0.390274401531726
bcca,2017,0.425188034015502
bcca,2018,0.477189364661995
bcca,2019,0.424937580266997
bcca,2020,0.422187750827685
bcca,2021,0.0193873968536698
bcsc,1895,1.78822683398619e-07
bcsc,1896,2.33014142580904e-07
bcsc,1897,1.81588071811039e-05
bcsc,1898,2.84188888104609e-05
bcsc,1899,5.01309476269105e-06
bcsc,1900,6.49493833759993e-06
bcsc,1901,1.17937280183907e-05
bcsc,1902,7.9262210376296e-05
bcsc,1903,5.77058771355828e-05
bcsc,1904,0.000307593747371468
bcsc,1905,0.000270367885486484
bcsc,1906,0.000335256469320067
bcsc,1907,4.07481329112717e-06
bcsc,1908,0.00096228654085219
bcsc,1909,5.44548457125717e-08
bcsc,1910,1.73320368465245e-05
bcsc,1911,2.26703170117319e-05
bcsc,1912,1.07989536341412e-05
bcsc,1913,0.000353235499296113
bcsc,1914,0.000318495757387633
bcsc,1915,0.000123007972090683
